iso3,year,gdp_per_capita
FJI,2002,2136.56794118683
FRA,2002,24144.5727019529
FRO,2002,26937.6505602847
FSM,2002,2156.70532157086
GAB,2002,3966.48001864663
GBR,2002,30077.741432188
GEO,2002,853.526171868939
GHA,2002,297.46164468774
GIN,2002,495.916073559269
GMB,2002,376.531026962584
GNB,2002,362.034574570354
GNQ,2002,2264.21065580365
GRC,2002,13782.195640943
GRD,2002,4984.47405931447
GRL,2002,20652.8417042443
GTM,2002,1669.33517469705
GUM,2002,20909.9590302806
GUY,2002,950.866932470993
HIC,2002,22968.4725051781
HKG,2002,24665.8362318216
HND,2002,1132.49965345317
HPC,2002,373.078875646533
HRV,2002,6219.58164143945
HTI,2002,720.969568042522
HUN,2002,6655.33300865319
IBD,2002,1482.32970903156
IBT,2002,1252.31278322444
IDA,2002,464.737979512485
IDB,2002,629.758800881462
IDN,2002,881.002913569131
IDX,2002,382.938579097994
IMN,2002,24471.0798814847
IND,2002,469.149928973927
IRL,2002,32705.4345565698
IRN,2002,1891.25756092031
IRQ,2002,1266.15961275094
ISL,2002,32409.2161491753
ISR,2002,19034.3175740071
ITA,2002,22463.5222129968
JAM,2002,3680.64551727724
JOR,2002,1706.26744384401
JPN,2002,32820.7936433254
KAZ,2002,1573.55219932325
KEN,2002,402.936385605382
KGZ,2002,321.726775366804
KHM,2002,350.147276634294
KIR,2002,810.108949976176
KNA,2002,10453.6587064313
KOR,2002,13165.08362497
KWT,2002,18512.7523035862
LAC,2002,3661.55201517345
LAO,2002,313.350817148131
LBN,2002,4290.85283803266
LBR,2002,299.536445539621
LBY,2002,3718.29434696755
LCA,2002,5567.89428424719
LCN,2002,3839.09899910135
LDC,2002,334.142875511538
LIC,2002,312.02868416744
LIE,2002,79795.1785891101
LKA,2002,834.936014905338
LMC,2002,571.963511657848
LMY,2002,1150.99187863541
LSO,2002,388.92334985135
LTE,2002,1805.11773407746
LTU,2002,4148.13091485015
LUX,2002,53005.7339209179
LVA,2002,4003.60935783538
MAC,2002,16814.9926424134
MAR,2002,1596.02062988281
MCO,2002,90051.4459877468
MDA,2002,570.799866188293
MDG,2002,304.941777398445
MDV,2002,3076.07007160101
MEA,2002,2944.47313511223
MEX,2002,7983.03398483743
MHL,2002,2566.06708799222
MIC,2002,1226.22247879312
MKD,2002,1989.13537265159
MLI,2002,318.042432039222
MLT,2002,11251.2060862043
MMR,2002,146.598390364449
MNA,2002,1549.3508174048
MNE,2002,2106.6350684523
MNG,2002,570.249213248399
MNP,2002,19227.8894246608
MOZ,2002,313.886661721198
MRT,2002,648.879643934862
MUS,2002,4073.06053055903
MWI,2002,428.210439838398
MYS,2002,4184.03163773539
NAC,2002,36652.0031278509
NAM,2002,1772.07565537493
NCL,2002,16104.5520406819
NER,2002,225.294391147438
NGA,2002,712.164852077686
NIC,2002,1014.3339042591
NLD,2002,29446.5330872868
NOR,2002,43170.557174499
NPL,2002,238.89140296106
NRU,2002,2084.64824520971
NZL,2002,16874.1874918196
OED,2002,23456.5071141032
OMN,2002,9869.13050219438
OSS,2002,5684.08316798855
PAK,2002,599.937345723927
PAN,2002,4090.58617397129
PER,2002,2007.37019626753
PHL,2002,1014.90879320106
PLW,2002,8340.53735322771
PNG,2002,506.331789534482
POL,2002,5223.45178967082
PRE,2002,519.046330458289
PRI,2002,18731.4593897378
PRT,2002,12936.6928204482
PRY,2002,1367.76506935997
PSE,2002,1156.21747345769
PSS,2002,1697.33561681711
PST,2002,26457.7324451577
PYF,2002,16004.0583292112
QAT,2002,27226.6593510117
ROU,2002,2119.85509684554
RUS,2002,2377.52954101563
RWA,2002,234.043016755733
SAS,2002,474.00688736178
SAU,2002,10586.0543471363
SDN,2002,506.262634277344
SEN,2002,669.430447319209
SGP,2002,22159.8373710639
SLB,2002,756.890296490792
SLE,2002,388.995136049853
SLV,2002,2115.41187355626
SMR,2002,41790.8432718184
SOM,2002,229.598918310039
SRB,2002,2390.73459447107
SSA,2002,620.758666040192
SSF,2002,621.725431714769
SST,2002,5368.45611944074
STP,2002,568.10257252271
SUR,2002,2202.340682196
SVK,2002,6554.62808369461
SVN,2002,11639.1297780477
SWE,2002,29957.9387652616
SWZ,2002,1351.86550182919
SYC,2002,8864.16919495467
SYR,2002,1183.2473451033
TCA,2002,17803.9471767733
TCD,2002,219.061391951349
TEA,2002,1116.71958026231
TEC,2002,2339.23767914136
TGO,2002,445.238691488925
THA,2002,2089.75183111554
TJK,2002,186.951638285222
TKM,2002,935.540801478466
TLA,2002,3714.29505944995
TLS,2002,533.982476434866
TMN,2002,1553.43725482924
TON,2002,1759.48033285941
TSA,2002,474.00688736178
TSS,2002,621.725431714769
TTO,2002,6762.93080808096
TUN,2002,2320.7723805785
TUR,2002,3583.19745897158
TUV,2002,1750.25175052348
TZA,2002,402.649047851563
UGA,2002,241.984688408335
UKR,2002,903.011901855469
UMC,2002,1825.09037145691
URY,2002,4149.76140312687
USA,2002,37997.7424300242
UZB,2002,381.409296889283
VCT,2002,4303.27976789727
VEN,2002,3652.09896501865
VIR,2002,30062.0225050457
VNM,2002,445.132861817313
VUT,2002,1340.71537528287
WLD,2002,5521.93203415049
WSM,2002,1527.55790455937
YEM,2002,513.241486570603
ZAF,2002,2688.23676032806
ZMB,2002,393.864625518616
ZWE,2002,524.677238832055
ABW,2003,21949.4859960868
AFE,2003,809.968139434436
AFG,2003,198.871115728727
AFW,2003,694.500938597172
AGO,2003,992.698979254665
ALB,2003,1846.12012081207
AND,2003,34063.5784034776
ARB,2003,2696.67230474801
ARE,2003,29659.5428567811
ARG,2003,3320.47775133903
ARM,2003,882.030167695474
ASM,2003,9197.66196836987
ATG,2003,12171.3773760407
AUS,2003,23718.1338501868
AUT,2003,32110.1159661425
AZE,2003,883.692580745256
BDI,2003,111.406682804391
BEL,2003,30655.2092679024
BEN,2003,676.002878084282
BFA,2003,362.373899996953
BGD,2003,426.74880754362
BGR,2003,2719.49436859287
BHR,2003,14486.0269029822
BHS,2003,26429.1247787663
BIH,2003,2033.94700935864
BLR,2003,1819.52653114699
BLZ,2003,4962.08962013799
BMU,2003,67106.8028083224
BOL,2003,893.013760211149
BRA,2003,3090.6070097455
BRB,2003,12075.9587020649
BRN,2003,20677.9001224663
BTN,2003,1022.38240311018
BWA,2003,4230.12326909926
CAF,2003,278.403992150941
CAN,2003,28301.8645937428
CEB,2003,5949.7367798729
CHE,2003,49335.7456291067
CHI,2003,48570.7796632166
CHL,2003,4773.40177520754
CHN,2003,1288.63749134336
CIV,2003,1111.17135087887
CMR,2003,988.241276791846
COD,2003,161.491553524396
COG,2003,1016.82363412143
COL,2003,2311.94218760291
COM,2003,959.787894504834
CPV,2003,1717.97565369655
CRI,2003,4173.14856415514
CSS,2003,7098.96854417985
CUB,2003,3202.78109865637
CUW,2003,16695.7351137757
CYP,2003,20252.24609375
CZE,2003,9852.45677945801
DEU,2003,30711.1022511331
DJI,2003,764.634465224597
DMA,2003,5009.57393166758
DNK,2003,40519.0974905924
DOM,2003,2383.26171780393
DZA,2003,2283.77299346126
EAP,2003,1238.62098638657
EAR,2003,1368.16133713028
EAS,2003,4138.94393779073
ECA,2003,2245.29783911291
ECS,2003,15577.4077530747
ECU,2003,2315.62215223014
EGY,2003,1031.27556291284
EMU,2003,27017.6209071529
ERI,2003,348.950327077742
ESP,2003,21522.0170990262
EST,2003,7205.40703313243
ETH,2003,116.800491132777
EUU,2003,23025.7556068565
FCS,2003,702.970522875086
FIN,2003,32920.0857192568
FJI,2003,2655.58079586044
FRA,2003,29479.5222101175
FRO,2003,31269.6031997217
FSM,2003,2185.80309035045
GAB,2003,4710.74862768151
GBR,2003,34442.6875402308
GEO,2003,1010.03151630868
GHA,2003,358.39927142073
GIN,2003,566.48540588068
GMB,2003,308.719123437587
GNB,2003,419.78486611807
GNQ,2003,2930.60183743733
GRC,2003,18020.612039764
GRD,2003,5427.96377252312
GRL,2003,27459.8753295461
GTM,2003,1722.54701910774
GUM,2003,21877.3178371553
GUY,2003,973.742598054188
HIC,2003,25651.8389582777
HKG,2003,23977.1734120477
HND,2003,1156.08162681357
HPC,2003,411.069440888416
HRV,2003,8190.11135193887
HTI,2003,578.995291079709
HUN,2003,8419.43087098103
IBD,2003,1646.22410729152
IBT,2003,1387.17052196991
IDA,2003,511.731752009684
IDB,2003,693.533888199508
IDN,2003,1043.2105838671
IDX,2003,421.541245406357
IMN,2003,28861.6178062918
IND,2003,544.143133545002
IRL,2003,41203.5295847568
IRN,2003,2208.99636553529
IRQ,2003,817.887862499622
ISL,2003,39476.6978486684
ISR,2003,19629.4145135202
ITA,2003,27618.9417740066
JAM,2003,3549.70758394618
JOR,2003,1775.67625581432
JPN,2003,35387.0374203599
KAZ,2003,1958.02050246511
KEN,2003,442.898457253405
KGZ,2003,380.505828812441
KHM,2003,386.691123931778
KIR,2003,1020.50050169828
KNA,2003,10175.6295449989
KOR,2003,14672.8057539465
KWT,2003,22690.655175144
LAC,2003,3690.37198578833
LAO,2003,355.097216151461
LBN,2003,4437.71588507526
LBR,2003,239.779556677091
LBY,2003,4674.09943200321
LCA,2003,6058.60622059326
LCN,2003,3862.06311727292
LDC,2003,369.077756082546
LIC,2003,338.280060678198
LIE,2003,90108.3673647008
LKA,2003,946.382255128072
LMC,2003,636.907411775998
LMY,2003,1268.97683722015
LSO,2003,583.270036200288
LTE,2003,2043.33260370564
LTU,2003,5507.47434187652
LUX,2003,65689.3214536911
LVA,2003,4914.57992829302
MAC,2003,18589.8998330534
MAR,2003,1941.87255859375
MCO,2003,111110.451312249
MDA,2003,682.319095965299
MDG,2003,352.620095849925
MDV,2003,3548.5767011056
MEA,2003,3206.88593622116
MEX,2003,7434.0746485155
MHL,2003,2539.3307383954
MIC,2003,1353.77755628539
MKD,2003,2445.36286400013
MLI,2003,371.627016389759
MLT,2003,13593.974199672
MMR,2003,224.292688912409
MNA,2003,1668.03909053501
MNE,2003,2789.15906483509
MNG,2003,643.168068921658
MNP,2003,18938.8728389967
MOZ,2003,339.488737800648
MRT,2003,732.017820812675
MUS,2003,4858.26575549747
MWI,2003,383.348596852642
MYS,2003,4465.32194567208
NAC,2003,38395.5452969729
NAM,2003,2569.24739317883
NCL,2003,20768.1061488848
NER,2003,265.225363452469
NGA,2003,763.388745367223
NIC,2003,1021.35216668794
NLD,2003,35896.7504630706
NOR,2003,50250.3298214345
NPL,2003,246.429706587633
NRU,2003,2463.28259078079
NZL,2003,21913.7081719961
OED,2003,26047.3194282837
OMN,2003,10463.5425832141
OSS,2003,6870.21876875993
PAK,2003,672.44178669894
PAN,2003,4264.66428846636
PER,2003,2129.44114197634
PHL,2003,1027.2301192843
PLW,2003,7862.04283025586
PNG,2003,577.467922387259
POL,2003,5720.81366178104
PRE,2003,548.762783015462
PRI,2003,19557.1202492358
PRT,2003,15797.7821340276
PRY,2003,1443.99885236205
PSE,2003,1257.69857009689
